name,uses,action
ea bottom round roast,1,skip
cup beef broth,1,skip
cup brandy,1,skip
leaf romaine lettuce,1,skip
cup tsp maple syrup,1,skip
lb currant,1,skip
lb sultana,1,skip
lb suet,1,skip
lb breadcrumb,1,skip
lb crystallised peel,1,skip
pint wine,1,skip
pint cider,1,skip
pie dough,1,skip
green wheat,1,skip
soaked chickpea,1,skip
argentinian chorizo sausage,1,skip
chimichurri sauce,1,skip
pound cake cut in -inch slice,1,skip
moscatel wine,1,skip
ndash,1,skip
pandan leaf tied in a knot,1,skip
cola,1,skip
cola bbq sauce,1,skip
cup cognac,1,skip
cup strong coffee,1,skip
bottle pinot noir red wine,1,skip
tsp - celery seed,1,skip
dry mustard powder,1,skip
l of chilean brandy,1,skip
spoonful coffee,1,skip
ea cod fillet,1,skip
cup china grass strand,1,skip
glac cherry,1,skip
drop pink food colouring,1,skip
fat bacon,1,skip
cornmeal mush,1,skip
tsp powdered citric acid,1,skip
veal slice,1,skip
ham slice,1,skip
meat dripping,1,skip
red shallot,1,skip
pinpoint of fenugreek seed,1,skip
pandan leaf,1,skip
dry red chile,1,skip
chana dhal,1,skip
cup of,1,skip
thick slice pancetta,1,skip
strip of pork belly fat,1,skip
measure of brandy,1,skip
bottle red burgundy wine,1,skip
cassava flour,1,skip
